Name,Ticker,Buy & Hold Return [%],Return [%],# Trades,Win Rate [%],Profit Factor,Sharpe Ratio,Start,End,Strategy
晉椿,2064-TW,-44.067796610169495,-4.652655000000005,10,30.0,1.0797230703389216,-0.0224010053535075,2014-12-26,2025-09-30,"B[1,7,59]S[1,7]"
瑞利,1512-TW,-29.66101694915254,178.00927299999995,11,27.27272727272727,3.6700644735758736,0.0958494780421029,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
光麗-KY,6431-TW,-48.48,-35.80691699999999,10,20.0,0.8018790429279371,-0.196532007918246,2014-12-04,2025-09-30,"B[1,7,59]S[1,7]"
福大,4402-TW,148.05194805194807,128.66331499999998,12,41.66666666666667,4.100593110792356,0.125599831669135,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
達航科技,4577-TW,8.30903790087464,-40.81511999999999,3,0.0,0.0,-1.294612791528518,2022-06-14,2025-09-30,"B[1,7,59]S[1,7]"
浩泰,4131-TW,71.87500000000001,-40.22377600000002,9,22.22222222222222,0.4365203295796915,-0.1259548405173682,2004-04-09,2025-09-30,"B[1,7,59]S[1,7]"
大立,4716-TW,11.874999999999991,25.76684300000004,12,16.666666666666664,1.831748275066898,0.0625455790941564,2000-03-27,2025-09-30,"B[1,7,59]S[1,7]"
邦泰,8935-TW,14.485981308411224,35.86304700000002,13,30.76923076923077,1.9649421550809585,0.078505460227517,2002-03-26,2025-09-30,"B[1,7,59]S[1,7]"
商丞,8277-TW,-52.68199233716475,151.4286220000001,11,36.36363636363637,4.335886261042452,0.1844861704754826,2004-12-27,2025-09-30,"B[1,7,59]S[1,7]"
洛碁,8077-TW,330.2439024390244,-12.509516000000003,8,37.5,0.6814469307059936,-0.0414142773334904,2004-12-06,2025-09-30,"B[1,7,59]S[1,7]"
霈方,6574-TW,-48.93617021276596,-14.291994999999972,9,22.22222222222222,0.2196113261166728,-0.2070247183549059,2017-09-04,2025-09-30,"B[1,7,59]S[1,7]"
台微醫,6767-TW,-16.260162601626014,-5.957719999999996,4,50.0,1.047469125317142,-0.0806445443650299,2021-01-25,2025-09-30,"B[1,7,59]S[1,7]"
邑昇,5291-TW,-33.72395833333333,-22.17499500000003,19,15.789473684210526,0.8681341247611258,-0.1009366542564367,2014-12-23,2025-09-30,"B[1,7,59]S[1,7]"
三一東林,3609-TW,16.744186046511633,57.46612499999998,12,41.66666666666667,2.621227317528633,0.1296478192245509,2011-01-11,2025-09-30,"B[1,7,59]S[1,7]"
力銘,3593-TW,-64.70588235294117,-51.921658,15,33.33333333333333,0.3795987544826301,-0.2095654979914523,2009-03-16,2025-09-30,"B[1,7,59]S[1,7]"
瑞築,6198-TW,-41.98782961460446,1.8460050000000512,11,27.27272727272727,1.2705855015264855,0.0055091312832245,2002-12-26,2025-09-30,"B[1,7,59]S[1,7]"
大詠城,4538-TW,-7.960199004975131,-1.2730249999999883,10,30.0,1.034264831070707,-0.0098676816204924,2019-01-15,2025-09-30,"B[1,7,59]S[1,7]"
訊聯基因,4160-TW,24.324324324324333,24.17270000000005,12,25.0,1.8257036429879048,0.0762685769415995,2012-09-17,2025-09-30,"B[1,7,59]S[1,7]"
今展科,6432-TW,-44.08817635270541,-53.88601999999999,7,14.285714285714285,0.0362733602342397,-0.497033801482884,2015-05-20,2025-09-30,"B[1,7,59]S[1,7]"
萬達光電,5220-TW,-30.381944444444443,17.21486499999999,7,28.57142857142857,1.8965260826418824,0.1166810098728107,2018-04-26,2025-09-30,"B[1,7,59]S[1,7]"
海德威,3268-TW,-29.563492063492063,17.63849499999997,14,35.714285714285715,1.6287124276893226,0.0346995452339982,2005-01-27,2025-09-30,"B[1,7,59]S[1,7]"
亞元,6109-TW,-71.24999999999999,-8.668915999999992,11,27.27272727272727,1.036546028110764,-0.0242317739902343,2001-07-26,2025-09-30,"B[1,7,59]S[1,7]"
智捷,8176-TW,-44.141689373297005,-17.854209000000065,14,28.57142857142857,0.8487994691121884,-0.0707058625804762,2013-06-25,2025-09-30,"B[1,7,59]S[1,7]"
海灣,3252-TW,-41.54518950437317,-46.869045,11,9.090909090909092,0.0368819498529838,-0.2069137792138084,2004-09-23,2025-09-30,"B[1,7,59]S[1,7]"
達能,3686-TW,-69.30533117932148,-48.41058499999999,12,25.0,0.587346827163349,-0.0740438396795891,2010-07-20,2025-09-30,"B[1,7,59]S[1,7]"
台興,3426-TW,-27.874564459930312,-18.049814999999967,5,0.0,0.0,-0.346134705367609,2016-12-21,2025-09-30,"B[1,7,59]S[1,7]"
晟鈦,3229-TW,-41.86991869918699,-71.92054200000003,14,7.142857142857142,0.2365606715923089,-0.4110686346048089,2005-04-12,2025-09-30,"B[1,7,59]S[1,7]"
永純,4711-TW,-29.36170212765957,0.179904999999993,8,25.0,0.8571575955298796,0.0007963995773182,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
展宇,1776-TW,-35.3813559322034,3.781335000000009,8,50.0,1.2786738020544046,0.0231427751080691,2016-05-09,2025-09-30,"B[1,7,59]S[1,7]"
富堡,8929-TW,77.33990147783251,-17.44044499999996,9,33.33333333333333,1.2060885448915306,-0.0578008691926315,2000-11-30,2025-09-30,"B[1,7,59]S[1,7]"
雙喜,5516-TW,-1.102941176470591,-11.093975000000013,15,46.66666666666666,0.906401224087266,-0.0317139133529291,2000-01-04,2025-09-30,"B[1,7,59]S[1,7]"
寶德,3349-TW,-14.41241685144124,17.16661000000001,2,50.0,3.7547012987012978,0.3090556691736069,2022-03-23,2025-09-30,"B[1,7,59]S[1,7]"
